adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,/tabwEBeMWaWH7Q7B2WR0M9VkD4j.jpg,[10767],203299,['US'],en,A Captain's Log,"A Journalistic news source and interview TV Talk show beaming down the latest Star Trek news and views from all the ships crews. A Captain's Log guides viewers through this side of our galaxy's quadrant with a splash of knowledge in our top 10 lists and interviews. Looking through Roddenberry's Star Trek universe and beyond in this half hour scoop at warp power, host Bryan Kreutz, his co-host Lili Fox-Lim steer viewers into a knowledge-based trek of Klingon language all the way through full interviews with guests the fans want to hear from. Bryan and Lili are accompanied by an animated alter ego named Rogg to humor viewers with relevant Star Trek news and views. From a Starfleet ambassador's point of view, as Ambassador to the fan's, Bryan Kreutz hands over the conn to his animated android counterpart's perspective ranging from logical knowledge to unknowns in Star Trek's Past, present, and beyond.",3.6114,/bfTOLCaIPt0nxgXLCrsvhBR7DlW.jpg,2021-06-30,False,A Captain's Log,7.5,2
False,/9oFAvcW2HPumSTUIXv6uEGYiKsK.jpg,"[16, 10765]",308874,['JP'],ja,乙女怪獣キャラメリゼ,"Kuroe Akaishi just wants a normal high school life—but that's impossible with a rare condition that turns her into a giant kaiju whenever her emotions spike! Things get even worse when she falls for Arata Minami, the most popular boy in class. Now every blush, heartbeat, and crush could trigger a monster transformation. Can Kuroe survive high school love before it destroys everything around her?!",3.5428,/zO0vipu5gWi4qV0ARhFkCJWLZDJ.jpg,2026-07-03,False,KAIJU GIRL CARAMELISE,0.0,0
False,/hhameAydSKc3kFEmWXGbIqJwALQ.jpg,"[10764, 10751]",78732,['NO'],no,Sommerhytta,"Four families will realize their cabin dream. In just a few square meters they will create their own summer paradise, which they may end up winning after ten weeks have passed.",3.507,/8fWTsukYihkT4yoxEQmlgaIoKIY.jpg,2017-01-02,False,Sommerhytta,6.0,1
False,,"[16, 10759, 10765]",287075,['JP'],ja,魔法少女リリカルなのは EXCEEDS Gun Blaze Vengeance,New anime production to celebrate the 20th anniversary of Magical Girl Lyrical Nanoha. Set after the events of Magical Girl Lyrical Nanoha: Detonation.,3.484,/6FTC8b0V0xdCQrT4929HPdPnoYo.jpg,2026-07-05,False,Magical Girl Lyrical NANOHA EXCEEDS Gun Blaze Vengeance,0.0,0
False,/wE6UAEx2vxCAzi1LvMMsSPNa9PE.jpg,[18],312794,['IN'],hi,School Friends Class of 2026,"The final year. The highest stakes. And a friendship that refuses to fade. School Friends: Class of 2026 is a high-energy high school drama where three best friends step into their last year expecting memories… and walk into a world of rising pressure, shifting equations, and emotions that hit harder than any exam. Expect friendship, first love, rivalry, heartbreak, ambition, and that unstoppable “us vs the world” spirit. It’s messy. It’s funny. It’s painfully real. And when everything starts testing them, they’ll have to decide what they’re fighting for… and who they’re fighting with.",3.4834,/iV0mgV15Sxgwmb6lvhrTMUjHJZR.jpg,2026-01-01,False,School Friends Class of 2026,0.0,0
False,/lHIfDwuhQcLVI8bncg2gXATgINz.jpg,"[16, 10762]",299144,['JP'],ja,リラックマ,"No matter what your day brings, Rilakkuma—always by your side—is stepping out of the everyday and into a laid-back, expansive world of animation. A moment that makes your heart feel light and carefree. Wherever you are, whatever you’re doing, keep Rilakkuma close by. An exciting new story is about to unfold.",3.4734,/yZHlb3AQl0tkJ2m0W6hSzRLxyV.jpg,2026-04-04,False,Rilakkuma,8.0,3
False,/8cf9fUr6DFrR611BDZtomvPSYjU.jpg,[10767],124598,['NL'],nl,De Oranjezomer,,3.3928,/voEykG0wFZspO183urO68DbiAkT.jpg,2021-06-10,False,De Oranjezomer,2.5,6
False,/stdEajhNVObZIX1mviGZZUvlMKF.jpg,"[35, 10764]",219341,['AU'],en,Taskmaster,Tough-love Taskmaster Tom Gleeson and his trusty assistant Tom Cashman put a batch of Aussie battlers through their paces!,3.3718,/hi4DwxzvtJ7xMbKxQw7REB4YOYb.jpg,2023-02-02,False,Taskmaster,6.9,19
False,/w2mfhH1Ymx15m0CKaHaUtXLSIJm.jpg,[10763],17737,['BR'],pt,Jornal Hoje,Jornal Hoje is a news program aired by the Brazilian television broadcaster Rede Globo; the program is broadcast in the early afternoon each day from Monday to Saturday and following Globo Esporte and before Vídeo Show. It is presented jointly by Sandra Annenberg and Evaristo Costa.,3.3485,/y9w72Qqi1PAokF0TObD04ediuPw.jpg,1971-04-21,False,Jornal Hoje,7.0,1
False,/bAjLDyTh0eFv2fC8YSfthFHqf39.jpg,[99],127616,['DE'],de,42 - Die Antwort auf fast alles,"What would we be without mucus? Can we live on water? How much does life weigh? Finding out the answers is the aim of ARTE's new science show. In a nod to Douglas Adams's ""Hitchhiker's Guide to the Galaxy"", where the figure 42 is the ultimate answer to all questions, 42 tries to provide the answers.",3.3426,/tU6TbNztkTXyH69qT6QKxKRUCEX.jpg,2021-09-04,False,42: The Answer to Almost Everything,9.6,5
False,/ISJv5bCeFtXc3Si5OBPHkPdWmi.jpg,[99],77594,['JP'],en,Japan Railway Journal,"Discover the secrets of Japan's railways, from the newest technologies and systems in use, to travel tips and must-see places.",3.3374,/p6CbYkUQxsdp5FUyzFvh5twXZRQ.jpg,2015-03-09,False,Japan Railway Journal,8.0,2
False,/9e0I0ubmlvaeKKp6AlHjPyBTjmg.jpg,"[16, 10759, 18, 10765, 35]",315088,['CN'],zh,盗妖行,"Due to a marriage arranged for the purpose of benefit exchange, Jiang Yuan, an assassin from the Taixuan Building, and Shao Yue, the holy daughter of the Jiuxuan Sect, were ordered to get married. The two initiated an assassination on their wedding night, only to discover that they were both immortal. In order to obtain the secret treasures of the other sect, the Demon Suppressing Bell and the Demon Suppressing Bell, the two turned from mortal enemies into ostensible spouses, feigning harmony. However, the two were unaware that the other was also an alien survivor whose homeland had been destroyed by ""Nihility"". This pair of fated lovers formed an alliance amidst vigilance and probing, not only to search for the secret treasure formed from the lost spaceship, but also to confront the entire cultivation world that was eyeing them covetously, seeking hope to defeat ""Nihility"" amidst peril.",3.3319,/4l4LfiTnQkyWW5Lzh59cOsTBnXl.jpg,2026-03-03,False,Aliens Among Immortals,7.0,1
False,/8fcBg48fEEkaFreYmHZ3mAciLC.jpg,[18],325311,['IN'],bn,Queens,"The Sarkar empire was the only thing blocking Nilmoni Mishra from absolute power. His answer? A brutal wedding night massacre. Now, four grieving widows inherit a legacy of blood and enemies. Led by Meera, pregnant and fierce, they choose vengeance over tears. Blood will answer blood.",3.3262,/dz20pemFyWEUpsAdcTjZwjw1nVO.jpg,2026-06-12,False,Queens,0.0,0
False,,"[16, 10762]",312123,['JP'],ja,おねがいアイプリ,New entry in the Pretty Series.,3.3223,/jLmoLyNogj8EoZoX263391UYHS.jpg,2026-04-05,False,Onegai AiPri,7.0,1
False,/xybAeeX4Sf6PYIEIfLngN1oOk2u.jpg,[18],287027,"['DE', 'AT', 'CZ']",de,"Ein Ort, der sich Zuhause nennt",,3.2982,,2026-07-01,False,"Ein Ort, der sich Zuhause nennt",0.0,0
False,/vGjgCOv9Ac2UvohcqfcqFJ8TKT3.jpg,[10764],279644,['US'],en,Baylen Out Loud,"Follow the journey of Baylen Dupree, a young woman living with Tourette Syndrome. Despite her daily challenges, Baylen, her family, and long-term boyfriend aren't afraid to laugh and embrace the chaos that makes their everyday lives unique.",3.2842,/aAMITid8hFFytKmdeh3eSNbCJDA.jpg,2025-01-13,False,Baylen Out Loud,8.7,6
False,/vwzQHz8Q8DsBTDkDwL4ob1qSHCY.jpg,"[10762, 10764]",321344,['BE'],nl,Maestro Fortissimo,,3.2536,/52WamglJ2aLncbLJq4O9GtcaaR2.jpg,2026-05-02,False,Maestro Fortissimo,0.0,0
False,,"[16, 35]",287028,['JP'],ja,これ描いて死ね,"Ai Yasumi, a first-year high schooler living on the remote island of Izu Ōshima, has one obsession: manga. When she discovers that her long-idolized but reclusive favorite manga creator, Yasuno-sensei, will make a rare appearance at Comitia, Ai doesn't hesitate—she has to meet her hero. But that single decision sets off a chain of encounters that will shatter her assumptions about art, genius, and what it truly means to create.",3.2498,/wyNF7ZhfyOihNwLponoegKK7xQQ.jpg,2026-07-03,False,"Draw This, Then Die!",0.0,0
False,/wPylnk4oS4eDzKoQaTEDwmFnq5D.jpg,"[35, 10763]",129601,['AU'],en,The Cheap Seats,"Major news stories, not-so-major news stories, stories involving cats, entertainment, sport and viral videos, it’s a Reader's Digest of world events for a generation who simply don’t want to read.",3.2404,/8EybSqCIT5wWB9Xfs6tih6HJiJn.jpg,2021-07-20,False,The Cheap Seats,7.6,5
False,/4ei68OmZr0XHnN82OjiV8GBqfyN.jpg,"[16, 35, 10765]",312949,['JP'],ja,ヤニねこ,"Yani is a catgirl with a seriously bad smoking habit. She smokes so much that her apartment smells like ash and is littered with cigarette butts—and plenty of other trash! Every time she tries to quit, she becomes weak to the cravings and gives in almost instantly. Will she ever get her life together, or is she doomed to live as a chainsmoking slob forever?",3.2346,/kqeKlSd7o9BCbTraZsDnksRSfxm.jpg,2026-07-03,False,Chainsmoker Cat,0.0,0
False,,[],116050,['DE'],de,Immer wieder sonntags,,2.6664,,1995-06-11,False,Immer wieder sonntags,0.0,0
False,/zMeQ8TIAERHZeYlzZHwW0QytTDY.jpg,[18],301323,['GR'],el,Το Σπίτι Δίπλα στο Ποτάμι,"""The House by the River"" unravels the thread of the lives of five siblings who grew up in a place where time flowed alongside the waters of the river, full of dreams and anticipation.",2.9147,/BAilcXwY7LnhTEoXQFUA4l14se.jpg,2025-09-22,False,The House Next to the River,0.0,0
False,/wjaThWxAtnBC2wB9HOrdfOFZbfT.jpg,[35],111851,['NO'],no,Familien Lykke,Follow this cheerful family as they navigate the struggles of everyday life.,2.1915,/opljuYnTrN7rUup83wCjGXQ0A4y.jpg,2020-10-31,False,Familien Lykke,4.3,3
False,/gAOkgrgEmA29K42MZuSEvhVvBfZ.jpg,"[80, 99]",206593,['US'],en,Dateline: Unforgettable,"A series of reports chosen by ""Dateline"" correspondents that answers the question they most often get asked — what their most memorable story is and why.",2.9967,/ib7C7pvMvsxk8l4EjUsiUNqWTl1.jpg,2021-03-08,False,Dateline: Unforgettable,7.0,1
False,/xdh5oprFaNxFmJENnofndR4LJxt.jpg,[35],132223,['SI'],sl,"Ja, chef!","Jurij Zrnec stepped into the slippers of Chef, the culinary magician of endless talents, even bigger ego and the owner of the best restaurant in Ljubljana, Chateau de Philippe, Ljubomir Bohinc. In anger, Chef can be scary, invincible in entertainment, and royal in forgiveness - especially when it comes to his own mistakes. There are a lot of people underneath, each with their own story. There are often fun situations between them, from which they escape as they know how. Ljubo (as only the bravest call him) has a large team of frightened chefs, cunning helpers, an introverted confectioner, an extremely efficient restaurant manager, fast waiters and a terribly slow bartender.",2.8456,/bcJQg3IyvpdhHMNoCIH2nz8Hq3n.jpg,2021-06-17,False,"Yes, Chef!",9.0,2
