adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,,[18],610465,Sweden Porno: Blonde Animal,ja,スェーデン・ポルノ    金髪アニマル,"The woman gets entangled with joy and euphoria. Romantic porn that depicts the reality of a swamping couple swapping in Scandinavia! Along with Norway, which is called the country of the night, on the Scandinavian peninsula, Sweden is known worldwide as a free sex developed country, now with the advent of the sex liberation era",2.8509,/1tzD4qL1BSJVjtuEbPUTATJt2zm.jpg,2026-06-21,False,False,0.0,0
False,/jyRcbj87rJiWQGMx7W5lTqlXoJ7.jpg,[80],1718266,KREC'H,fr,KREC'H,,5.8852,/oN4i978dpjaTFPvsh9orFeezRXx.jpg,2026-06-19,False,False,0.0,0
False,/vXXeefOP1V1qwkPMzrwJ9taNto0.jpg,[18],576069,Bait,en,Bait,"Martin Ward is a cove fisherman, without a boat. His brother Steven has repurposed their father’s vessel as a tourist tripper, driving a wedge between the brothers. With their childhood home now a getaway for London money, Martin is displaced to the estate above the picturesque harbour. As his struggle to restore the family to their traditional place creates increasing friction with tourists and locals alike, a tragedy at the heart of the family changes his world.",1.7998,/kM9uIcRIgG9dmZF3Zf7yMR2zftt.jpg,2019-03-26,False,False,6.569,108
False,,"[18, 14]",1717299,Cristin,zh,Cristin,,3.1092,/tHFKLL9P8o405tWPCxQbbURa1Ya.jpg,2026-06-17,False,False,0.0,0
False,/fsogRNuRdI7wBv8Ur1UwE0Yd6HC.jpg,"[53, 18]",1226834,This Tempting Madness,en,This Tempting Madness,"A young woman awakens from a coma grievously injured, memory fractured, her husband arrested. But as she puts together the pieces of her past, she starts to question her own actions — and her perception of reality.",2.8355,/eycVPsYXsLMRXgAPGqJTzKvnlzX.jpg,2026-06-12,False,False,7.0,2
False,/rVTeajiYbZJAuwqsPdpMA5TJFxj.jpg,"[53, 35, 80]",1046758,Sew Torn,en,Sew Torn,"A seamstress gets tangled in her own thread after stealing a briefcase from a drug deal gone bad. In an escalating game of cat and mouse, her different choices lead to drastically different outcomes along the way.",2.8585,/6N3bJq0VInPhifYml7cZ0TjRrXb.jpg,2025-09-11,False,False,6.596,49
False,/a7DtgKB187dUm9n81IlvNzVXsK1.jpg,"[18, 14, 37]",922,Dead Man,en,Dead Man,"On the run after committing murder, an accountant encounters a strange Native American man who prepares him for his journey into the spiritual world.",2.3663,/jX3wGBVoYoAY3IixBpwYk1fjT4z.jpg,1995-12-23,False,False,7.3,1741
False,/jF0cgfoBkmJyknP2nii2NdhChWs.jpg,[18],1315657,Yellow Letters,tr,Gelbe Briefe,The marriage of Derya and Aziz is under pressure after losing their jobs because of state arbitrariness and moving to Istanbul to live with Aziz's parents. They and their 13-year-old daughter Ezgi have to redefine their way of life.,2.8879,/8Sxp3QIdamyoAfgLsUaGCQ1Z1ID.jpg,2026-03-05,False,False,7.351,37
False,/jZNR5onRZijwyGr5iWbs3J9QcYr.jpg,"[36, 18, 10402]",1401281,The Testament of Ann Lee,en,The Testament of Ann Lee,"The extraordinary true legend of Ann Lee, founder of the devotional sect known as the Shakers, who preached gender and social equality and was revered by her followers as the female Christ.",2.8819,/hBGg3IGRM7LM6ydMmDrl8mEx33Y.jpg,2025-12-25,False,False,6.393,154
False,/yGH7ke2rbeSI4IZx90UzIrMlWLq.jpg,"[27, 18, 53]",787747,Shell,en,Shell,"Desperate to reclaim her career, once-beloved actress Samantha Lake is drawn into the glamorous world of wellness mogul Zoe Shannon - only to uncover a monstrous truth beneath its flawless surface.",2.9283,/2XBNS8DxMFP7qOoTOY7cc8OYFwI.jpg,2025-10-01,False,False,5.2,66
