adult,backdrop_path,id,name,original_name,overview,poster_path,media_type,original_language,genre_ids,popularity,first_air_date,softcore,vote_average,vote_count,origin_country,title,original_title,release_date,video
False,/h37hqVLmCW00ImewLAHT1DadOky.jpg,94997,House of the Dragon,House of the Dragon,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",/7V0Ebks0GgpKvQ7QbLAIdX5dos4.jpg,tv,en,"[10765, 18, 10759]",461.604,2022-08-21,False,8.348,6355,['US'],,,,True
False,/t6O6XWelu27BD0OmIDCCufZZT6d.jpg,1301421,,,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",/iKy5460GdsoknM8ppmGlJbKxAKa.jpg,movie,en,"[35, 9648, 10751]",309.3222,,False,7.8,499,,The Sheep Detectives,The Sheep Detectives,2026-04-30,False
False,/vk5IwZNS35wh6rNmqB1ns6XuiyI.jpg,1081003,,,"When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice.",/niSvU02l2BONH9ivubV6K1a5QiK.jpg,movie,en,"[28, 12, 878]",314.5953,,False,6.18,217,,Supergirl,Supergirl,2026-06-24,False
False,/5lTZyuBTNOfawsfPT8Q0cIg6qAF.jpg,1339713,,,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,movie,en,"[27, 53]",421.3331,,False,7.896,1028,,Obsession,Obsession,2026-05-13,False
False,/8sSKdEmlmqF4kJUd28SqthXC4yZ.jpg,1084244,,,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",/a6H2U7pjibMia41TwyFVd1PVQw3.jpg,movie,en,"[16, 10751, 35, 12]",561.0877,,False,7.477,355,,Toy Story 5,Toy Story 5,2026-06-17,False
False,/oUozq2XHWifwAVOoS1qHU0qfXqM.jpg,1083381,,,A strange doorway appears in the basement of a furniture showroom.,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,movie,en,"[27, 9648, 878]",372.9236,,False,6.9,769,,Backrooms,Backrooms,2026-05-27,False
False,/m7eiSGHFzr584zFmetGqkqaU6BN.jpg,124364,FROM,FROM,"Unravel the mystery of a nightmarish town in middle America that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they must also survive the threats of the surrounding forest – including the terrifying creatures that come out when the sun goes down.",/pRtJagIxpfODzzb0T0NAvZSzErC.jpg,tv,en,"[9648, 18, 10765]",812.2559,2022-02-20,False,8.499,3822,['US'],,,,True
False,/qJ2KSHJhlFvASBMLbGuP7OFMaFg.jpg,1413976,,,"A man takes justice into his own hands, hunting down criminals. His vigilante crusade makes him a social media star but puts him at odds with the local police chief.",/6LmJD3Wohe0g4U62wgi7RyJqfE4.jpg,movie,en,"[53, 28, 80]",111.753,,False,7.0,116,,Citizen Vigilante,Citizen Vigilante,2026-06-19,False
False,/xMoXsOgF0hBP7iVj7ZPIrFtTeL3.jpg,1315772,,,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",/nz7i42yhLIJ4ve9JKgM6NthoLHO.jpg,movie,en,"[12, 16, 35, 10751, 14]",88.0015,,False,6.9,30,,Minions & Monsters,Minions & Monsters,2026-06-24,False
False,/g1LJLlmWP74zv9yXKEXm7g9p10O.jpg,296206,Agent Kim Reactivated,김부장,"When an unassuming dad's daughter goes missing, he dusts off his old black-ops skills to track her down — only to attract the wrong kind of attention.",/jruaZAm1KjkFRhgRcdF8tqakhpH.jpg,tv,ko,"[10759, 80, 18]",183.9228,2026-06-26,False,8.083,12,['KR'],,,,True
